Name,Total Flights,Number of Seats,Seats per Departures,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
PSR,68,6668,98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PSS,270,25920,96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.00,0.00,0.00,1.00,0.00,0.00,0.00
ART,40,1480,37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARU,774,54180,70,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.14,1.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00
ARH,375,39712,105,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.64,0.00,0.79,0.00,0.00,0.00,0.00,0.85,0.14,0.00,0.61,0.00,0.00,0.00
ARI,70,10920,156,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00
ARM,302,14456,47,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.00,1.00,0.00,0.00,0.61,0.68,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.00
ARN,5522,746942,135,0.11,0.00,0.00,0.00,0.00,0.00,0.54,0.28,0.30,0.40,0.46,0.27,0.29,1.00,0.45,0.46,0.35,0.37,0.62,0.28,0.39,0.27,0.11,0.00
HNA,2149,129238,60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,1.00,0.00,0.19,0.00,1.00,0.66,0.00,0.19,0.95,0.00,0.00,0.00,0.00,0.00
LPI,332,29504,88,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00
TIU,670,12730,19,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.17,0.00,0.00,0.41,0.94,0.00,0.00,0.07,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TIV,209,20160,96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.73,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TIP,195,20525,105,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.00,0.00,0.00,0.00,0.01,1.00,0.00,0.00,0.00,0.00,0.00
TIR,365,62780,172,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TIM,1103,163276,148,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.28,1.00,0.30,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TIJ,90,9676,107,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.17,0.07,0.00,0.17,0.54,1.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.26
TIF,732,107850,147,1.00,0.31,0.00,0.00,0.00,0.30,0.00,0.59,0.00,0.48,0.00,0.00,0.85,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.58,0.46,0.23
TIA,1383,188234,136,0.00,0.00,0.00,0.00,0.07,0.51,0.00,0.00,0.00,1.00,0.00,0.61,0.27,0.00,0.00,0.37,0.15,0.42,0.23,0.06,0.28,0.00,0.04,0.10
GSO,1008,63739,63,0.00,0.00,0.00,0.00,0.00,0.21,0.95,0.57,0.39,0.09,1.00,0.45,0.45,0.49,0.22,0.14,0.23,0.74,0.50,0.25,0.00,0.00,0.00,0.00
BCI,78,5772,74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NNG,10964,1605693,146,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.00,0.50,0.44,0.29,0.59,0.15,0.15,0.52,0.49,0.56,0.33,0.54,0.50,0.17,0.09,0.09
KHV,1517,220912,145,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.09,0.45,0.35,0.40,0.30,0.00,0.30,0.70,1.00,0.21,0.08,0.24,0.40,0.26,0.16,0.00,0.00
KHH,4500,782044,173,0.00,0.00,0.00,0.00,0.00,0.00,0.27,1.00,0.27,0.06,0.05,0.10,0.07,0.11,0.10,0.26,0.19,0.08,0.06,0.10,0.15,0.06,0.00,0.00
KHI,1488,303043,203,0.56,0.00,0.00,0.84,0.40,0.82,0.43,1.00,0.00,0.01,0.41,0.13,0.68,0.08,0.77,0.00,0.00,0.62,0.45,0.64,0.00,0.08,0.77,0.44
NNY,698,78556,112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.00,1.00,0.00,0.00,0.80,0.48,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.52,0.00
KHE,59,7788,132,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HKD,2007,415417,206,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.04,0.00,0.51,0.18,0.88,0.14,0.20,0.00,0.00,1.00,0.00,0.00,0.00,0.00
KHG,1348,202074,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.53,0.35,0.32,0.23,0.00,0.00,1.00,0.37,0.24,0.00,0.25,0.35,0.00,0.05
XAP,1571,164894,104,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.36,0.00,0.00,0.00,0.00,0.40,0.00,0.00,1.00,0.00,0.16,0.49,0.00,0.00,0.00,0.36,0.00
HNL,16610,1907753,114,0.06,0.01,0.04,0.00,0.00,0.60,0.66,0.40,0.76,0.53,0.65,0.72,0.88,1.00,0.76,0.81,0.44,0.80,0.49,0.30,0.35,0.61,0.30,0.14
KVD,80,10560,132,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KVA,146,10804,74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
AQI,557,36762,66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.26,0.00,0.00,0.38,0.00,0.00,0.00
KVL,611,5499,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BVC,16,2480,155,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BVB,312,41972,134,0.00,0.00,0.09,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BVH,188,13160,70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VII,757,121330,160,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.94,0.05,0.00,0.06,1.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.00,0.00,0.00
EEK,1169,10521,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.70,0.00,0.98,0.00,0.00,0.00,0.00,0.00
CNS,6215,686431,110,0.00,0.02,0.00,0.00,0.00,0.38,0.28,0.33,0.20,0.70,0.79,0.50,1.00,0.69,0.59,0.40,0.32,0.25,0.17,0.16,0.03,0.01,0.00,0.00
ROK,3151,242004,76,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.89,0.29,0.64,0.21,0.20,0.00,0.29,0.26,0.42,0.89,0.23,1.00,0.03,0.00,0.00,0.00
ROO,474,33180,70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.16,0.00,0.00,0.00,0.00,0.00
ROA,444,20899,47,0.00,0.00,0.00,0.00,0.00,0.20,0.19,0.72,0.22,0.69,0.06,0.22,1.00,0.23,0.91,0.18,0.35,0.85,0.00,0.20,0.00,0.00,0.00,0.00
OSS,178,28264,158,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.00,1.00,0.00,0.06,0.03,0.00,0.17,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00
OSR,141,6486,46,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LLW,2166,209739,96,0.01,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.07,0.00,0.00,1.00,0.10,0.06,0.00,0.10,0.03,0.10,0.00,0.00,0.00,0.00
LLV,426,62048,145,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.56,0.41,0.00,0.00,0.00,1.00,0.00,0.66,0.00,0.00,0.00,0.00,0.00
LLI,738,42066,57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OSL,4172,470808,112,0.00,0.00,0.00,0.00,0.00,0.04,0.34,0.15,0.14,0.68,0.05,0.32,0.38,1.00,0.39,0.07,0.35,0.41,0.48,0.19,0.29,0.06,0.03,0.10
ROP,206,9476,46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LLB,63,7686,122,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.00,0.47,0.00,0.00,0.00,0.00,0.00
LLA,60,8538,142,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.11,0.30,1.00,0.00,0.24,0.00,0.90,0.00,0.23,0.42,0.08,0.84,0.24,0.00,0.36,0.00,0.00
ROS,472,57378,121,0.00,0.00,0.00,0.00,0.04,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,1.00,0.42,0.00,0.00,0.49,0.00,0.00,0.00
ROT,790,40285,50,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.37,0.00,1.00,0.53,0.59,0.60,0.11,0.22,0.48,0.07,0.47,0.02,0.00,0.00,0.00,0.00,0.00
LLF,100,13200,132,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
ROV,1600,196588,122,0.00,0.00,0.00,0.00,0.06,0.44,0.00,0.53,0.00,0.00,0.45,0.58,0.45,0.32,0.10,0.25,0.27,0.00,1.00,0.24,0.60,0.05,0.05,0.05
ROW,131,6550,50,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
BDA,396,60062,151,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.58,0.00,0.75,0.47,0.93,0.00,0.00,0.00,0.12,1.00,0.00,0.00,0.00,0.00
EWN,270,13383,49,0.00,0.00,0.00,0.00,0.00,0.30,1.00,0.15,0.00,0.04,0.15,0.00,0.00,0.12,0.00,0.00,0.07,0.12,0.00,0.01,0.00,0.00,0.00,0.00
BDB,1281,85554,66,0.00,0.00,0.00,0.00,0.00,0.04,0.27,0.00,0.00,0.33,0.14,0.00,0.31,0.13,1.00,0.03,0.14,0.81,0.00,0.00,0.00,0.00,0.00,0.00
EWB,455,4095,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BDO,938,143024,152,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.05,0.00,0.00,0.00,1.00,0.95,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00
YCU,1402,196479,140,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.39,0.66,0.00,0.38,1.00,0.23,0.15,0.15,0.83,0.42,0.00,0.38,0.38,0.00
BDJ,3030,472680,156,0.00,0.00,0.00,0.00,0.00,0.00,0.33,1.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00,0.33,0.11,0.00,0.00,0.00,0.33,0.00,0.00,0.00
BDQ,213,33570,157,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.39,0.00,0.00
BDS,474,75667,159,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.08,0.14,0.00,0.00,1.00,0.10,0.70,0.00,0.19,0.41,0.19,0.22,0.00,0.47,0.00,0.00
EWR,8353,1112228,133,0.00,0.04,0.00,0.00,0.00,0.08,0.46,0.52,0.43,0.45,0.59,0.20,0.11,0.43,0.27,0.45,0.62,1.00,0.98,0.69,0.73,0.30,0.34,0.00
YCG,319,15950,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,1.00,0.00,0.64,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KDI,1095,129940,118,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.64,0.00,0.00,0.64,0.00,0.00,0.00,0.00,0.00
VOG,602,81904,136,0.00,0.00,0.00,0.00,0.00,0.14,0.46,0.00,0.00,0.00,0.00,0.46,0.48,0.00,0.00,0.00,0.00,0.64,0.00,0.00,0.00,1.00,0.00,0.00
LRE,274,20276,74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.52,0.00,0.46,0.27,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LRD,136,6800,50,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.28,0.00,0.25,0.00,0.00,0.22,0.00,0.00,0.00,0.00
LRM,207,25365,122,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.42,0.00,0.53,0.57,1.00,0.00,0.00
LRS,168,6216,37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,1.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
